,A,C,K,Z,Y,I
699,1026880.8657895944,555870.3842205288,1645209.0776946393,0.9973915902931269,1179766.5387948263,623896.1545742975
700,1047418.4831053863,565582.7105643607,1678113.2496154255,1.0014286530736327,1208232.6198227757,642649.909258415
701,1068366.852767494,577677.309636708,1711675.5097746116,1.0024952465657886,1233709.8628463454,656032.5532096374
702,1089734.189822844,590627.5312297364,1745909.007627594,1.0021665994198732,1257971.5224819528,667343.9912522164
703,1111528.8736193008,603679.9987567234,1780827.1727843971,1.0021969546412854,1283169.8152082171,679489.8164514938
704,1133759.451091687,617038.6717912821,1816443.7020346608,0.999761642140269,1305652.7778292103,688614.1060379281
705,1156434.6401135207,629236.9277171151,1852772.5589875653,1.0004276767827964,1332653.0433536659,703416.1156365507
706,1179563.332915791,642082.4310978348,1889827.9991500464,1.0015420606831917,1360820.24311594,718737.8120181051
707,1203154.599574107,655883.4787921198,1927624.5479832448,1.0032723563048787,1390434.6614142652,734551.1826221454
708,1227217.691565589,671080.728039976,1966177.0274288577,1.0068815184302686,1423345.3268630079,752264.5988230319
709,1251762.045396901,688976.4693085513,2005500.55698999,1.0074035497096507,1452564.9426117216,763588.4733031703
710,1276797.286304839,707697.8307315507,2045610.5500709682,1.0046366115224459,1477546.8250909296,769848.9943593789
711,1302333.2320309358,725031.0183776906,2086522.7387957904,1.004858790863024,1507431.0573660058,782400.0389883153
712,1328379.8966715545,742944.7928940612,2128253.1776267383,1.0034720543074482,1535457.7670223021,792512.974128241
713,1354947.4946049857,760303.0508319271,2170818.2232235624,1.0018298893990556,1563603.9130163696,803300.8621844425
714,1382046.4444970854,776857.1913217895,2214234.5708786035,1.0003133722513484,1592461.7486510435,815604.557329254
715,1409687.373387027,792630.2319772276,2258519.2473048144,1.0004114859620779,1624470.2976416186,831840.065664391
716,1437881.1208547675,808798.8787369702,2303689.6206763024,0.9987446221622925,1654198.910979809,845400.0322428388
717,1466638.743271863,823990.9530261082,2349763.3993504755,0.9994200817624375,1688424.010205088,864433.0571789797
718,1495971.5181373004,840007.7312597721,2396758.657996053,0.9957900571569777,1715937.2597661265,875929.5285063544
719,1525890.9485000463,853380.7680754593,2444693.816057428,0.9902554201942882,1740528.0158929653,887147.247817506
720,1556408.7674700473,862388.3675990889,2493587.6785664647,0.990426190409295,1775644.731594903,913256.363995814
721,1587536.9428194482,871633.8182245903,2543459.4304654184,0.9878720041155861,1806486.8750063872,934853.056781797
722,1619287.6816758371,878819.9104574117,2594328.6138090547,0.9873329849798914,1841611.2122952328,962791.3018378211
723,1651673.435309354,885605.9452366019,2646215.185561909,0.9842037499210756,1872489.932245489,986883.9870088871
724,1684706.904015541,889757.0949776918,2699139.4859632207,0.9810379759989785,1903796.2488292577,1014039.1538515659
725,1718401.042095852,891195.8589515045,2753122.2751878486,0.9824467735109687,1944660.7555439218,1053464.8965924173
726,1752769.062937769,893854.664400008,2808184.7285249135,0.982317639165976,1983293.2508691542,1089438.5864691462
727,1787824.4441965246,896409.4536253494,2864348.42731333,0.9830993883320545,2024569.0304573188,1128159.5768319694
728,1823580.933080455,899651.1809075807,2921635.400956366,0.9838686682598241,2066676.331700767,1167025.1507931864
729,1860052.551742064,903575.8190655054,2980068.112934217,0.9832377475113655,2106658.0657892097,1203082.2467237043
730,1897253.6027769055,906964.7077209793,3039669.4763848013,0.9870620360589981,2157148.918773537,1250184.2110525577
731,1935198.6748324435,913729.793220438,3100462.8727370217,0.9884183713096694,2203315.349362707,1289585.5561422692
732,1973902.6483290924,921746.9855712112,3162472.129935393,0.9941046443523306,2260310.6204866837,1338563.6349154725
733,2013380.7012956743,934915.5761341474,3225721.5758072273,0.9975604612426113,2313531.527081101,1378615.9509469538
734,2053648.315321588,951403.6936168636,3290236.0020815097,0.9990554083237364,2363338.56304158,1411934.8694247163
735,2094721.2816280196,969560.9182364907,3356040.71104463,0.9990662253649998,2410631.4321865863,1441070.5139500955
736,2136615.7072605803,988074.8306154674,3423161.510923994,0.9979354696143581,2456061.1070328765,1467986.276417409
737,2179348.021405792,1005859.5518461625,3491624.725428945,0.9965821902508516,2501785.100573272,1495925.5487271096
738,2222934.981833908,1022645.1942528287,3561457.205053579,0.9970207318634234,2552943.716912215,1530298.5226593865
739,2267393.681470586,1040145.5925362281,3632686.3376740566,0.9991089750843415,2609456.628581853,1569311.0360456249
740,2312741.5550999977,1060050.419401683,3705340.054391009,0.9970407772627449,2656136.039732894,1596085.620331211
741,2358996.3862019978,1078211.5220598227,3779446.8384389663,0.9971314816316384,2709505.2278312994,1631293.7057714767
742,2406176.3139260374,1096778.546762073,3855035.7627258427,0.9947801077755463,2757178.154121086,1660399.607359013
743,2454299.8402045583,1113165.803657607,3932136.462471626,0.9952526145865447,2813657.527845363,1700491.7241877562
744,2503385.8370086495,1130307.70729875,4010779.1818059776,0.9965696562474092,2873728.524387018,1743420.8170882678
745,2553453.553748823,1149156.392530809,4090994.7559565967,0.9987188302730865,2937524.4427902782,1788368.0502594693
746,2604522.624823799,1170712.8504814464,4172814.641178618,0.9993567413818203,2998188.738490589,1827475.8880091426
747,2656613.077320275,1193397.369827917,4256270.92014437,0.9981185402134913,3054363.464926103,1860966.095098186
748,2709745.338866681,1215089.4908619032,4341396.321831422,0.9974571625398049,3113386.3570333607,1898296.8661714576
749,2763940.2456440143,1236397.0981311044,4428224.233434342,0.997616718109023,3176162.0660005403,1939764.967869436
750,2819219.050556895,1258269.5341780894,4516788.704850432,0.9973176080484906,3238713.9670304554,1980444.432852366
